,StateName,stateabb,ST_CODE,PC_CODE,bigstate,PCNAME,pc_name_n,m_electors,f_electors,t_electors,m_voters,f_voters,t_voters,year,representation
155,Karnataka,KA,S10,9,1.0,Bellary,Bellary,750789.0,737003.0,1487945.0,541905.0,503534.0,1045448.0,2014.0,1.0
156,Karnataka,KA,S10,10,1.0,Haveri,Haveri,807076.0,751596.0,1558749.0,594946.0,520512.0,1115458.0,2014.0,0.0
157,Karnataka,KA,S10,11,1.0,Dharwad,Dharwad,808768.0,769269.0,1578125.0,562867.0,477563.0,1040430.0,2014.0,0.0
158,Karnataka,KA,S10,12,1.0,Uttara Kannada,Uttara Kannada,742865.0,707704.0,1450599.0,521220.0,479217.0,1000437.0,2014.0,1.0
159,Karnataka,KA,S10,13,1.0,Davanagere,Davanagere,772126.0,750480.0,1522712.0,581109.0,533385.0,1114494.0,2014.0,1.0
160,Karnataka,KA,S10,14,1.0,Shimoga,Shimoga,778782.0,783379.0,1562243.0,572307.0,556790.0,1129107.0,2014.0,0.0
161,Karnataka,KA,S10,15,1.0,Udupi Chikmagalur,Udupi Chikmagalur,679285.0,707947.0,1387294.0,510562.0,522488.0,1033051.0,2014.0,1.0
162,Karnataka,KA,S10,16,1.0,Hassan,Hassan,789847.0,771551.0,1561486.0,585749.0,560755.0,1146508.0,2014.0,0.0
163,Karnataka,KA,S10,17,1.0,Dakshina Kannada,Dakshina Kannada,774454.0,790765.0,1565219.0,595446.0,611674.0,1207120.0,2014.0,0.0
164,Karnataka,KA,S10,18,1.0,Chitradurga,Chitradurga,844869.0,816317.0,1661277.0,572567.0,524303.0,1096871.0,2014.0,0.0
165,Karnataka,KA,S10,19,1.0,Tumkur,Tumkur,764561.0,753839.0,1518518.0,565126.0,535597.0,1100735.0,2014.0,1.0
166,Karnataka,KA,S10,20,1.0,Mandya,Mandya,839052.0,830121.0,1669262.0,604491.0,587306.0,1191805.0,2014.0,0.0
167,Karnataka,KA,S10,21,1.0,Mysore,Mysore,867893.0,855100.0,1723134.0,596311.0,561022.0,1157346.0,2014.0,0.0
168,Karnataka,KA,S10,22,1.0,Chamarajanagar,Chamrajnagar,789384.0,766336.0,1555781.0,585063.0,547426.0,1132497.0,2014.0,0.0
169,Karnataka,KA,S10,23,1.0,Bangalore Rural,Bangalore Rural,1135853.0,1054284.0,2190398.0,758651.0,696340.0,1455003.0,2014.0,0.0
170,Karnataka,KA,S10,24,1.0,Bangalore North,Bangalore North,1260356.0,1140751.0,2401472.0,720898.0,634569.0,1355485.0,2014.0,0.0
171,Karnataka,KA,S10,25,1.0,Bangalore central,Bangalore Central,1010478.0,920679.0,1931456.0,573657.0,500273.0,1073957.0,2014.0,0.0
172,Karnataka,KA,S10,26,1.0,Bangalore South,Bangalore South,1050737.0,947667.0,1998724.0,596688.0,516207.0,1112914.0,2014.0,0.0
173,Karnataka,KA,S10,27,1.0,Chikkballapur ,Chikkaballapura,843790.0,814500.0,1658410.0,652727.0,608718.0,1261451.0,2014.0,0.0
174,Karnataka,KA,S10,28,1.0,Kolar,Kolar,755450.0,737386.0,1492977.0,581924.0,544042.0,1125973.0,2014.0,1.0
175,Kerala,KL,S11,1,1.0,Kasaragod,Kasaragod,595047.0,648683.0,1243730.0,459280.0,514333.0,973613.0,2014.0,1.0
176,Kerala,KL,S11,2,1.0,Kannur,Kannur,548454.0,621812.0,1170266.0,438891.0,506993.0,945884.0,2014.0,1.0
177,Kerala,KL,S11,3,1.0,Vadakara,Vadakara,561168.0,621336.0,1182504.0,436972.0,520810.0,957782.0,2014.0,1.0
178,Kerala,KL,S11,4,1.0,Wayanad,Wayanad,614822.0,634598.0,1249420.0,454055.0,460171.0,914226.0,2014.0,1.0
